method,alpha,n_seeds,final_acc_mean,final_acc_std,acc_last50_mean,acc_last50_std,best_acc_mean,energy_J_mean,energy_J_std,walltime_s_mean,walltime_s_std
fedavg,0.1,1,0.765250,0.000000,0.757125,0.000000,0.767625,6588291.07,0.00,200190.26,0.00
fedavg,1.0,1,0.829500,0.000000,0.833478,0.000000,0.840875,5777061.78,0.00,126515.54,0.00
fedcs_dc_fixed,0.1,1,0.671875,0.000000,0.667030,0.000000,0.672000,4232671.77,0.00,139805.55,0.00
fedcs_dc_fixed,1.0,1,0.749125,0.000000,0.752992,0.000000,0.769750,3748218.90,0.00,81211.89,0.00
fedcs_random_fixed,0.1,1,0.709750,0.000000,0.704372,0.000000,0.710000,4232062.44,0.00,139805.55,0.00
fedcs_random_fixed,1.0,1,0.772750,0.000000,0.777543,0.000000,0.795500,3748218.90,0.00,81211.89,0.00
